증상,일상말
슬개대퇴 통증 증후군,무릎이 뻐근하고 찌릿찌릿아픈데 계단 오르내릴때마다 너무 힘들어ㅠ 왜 이러지?
치루,"엉덩이가 욱신욱신 어프고, 앉을 때마다찌릿한데 이거 왜 이래?"
결절종,손목에 볼록한 거 생겼는데 만지면물컹물컹하고 아프진 않아도 찝찝해서 신경 쓰여. 이거뭐야?
포도상구균 감염증,"피부가 빨갛께 부어오르고 욱신욱신 아픈데, 이게 왜이렇게 된거지?"
광장공포증,사람많은데 가면 심장이 두근두근하고숨막혀서 더는 못 있겠어. 왜 이러지?
뇌염,머리가 뜨끈뜨끈 아프고 열도 오르고 너무 피곤한데 이거 왜 이러지...?
포도막염,"눈이뿌옇고 시리더니 핑 도는 것 같고, 어주 살짝 아픈데이게 뭘까?"
구강암,"입안이 따끔따끔 아프고 뭐가 자꾸 헐어서 밥 먹기도 너무 힘든데, 어떻게해야 돼?"
클라미디아,어랫배가 찌릿찌릿 아프고 간질간질한 느낌인데 왜 이러는 걸까?
니켈 알레르기,"고백, 금속 닿기만 하면 간지럽고 빨개지는데 뭐가문제지?"
벌 쏘임,팔이 욱신 욱신 붓고 간지러운데 혹시 뭔가 큰일난꺼야?
안검염,눈꺼풀잉따끔따끔 간지럽고 자꾸 붓는데 왜 자꾸이러지?
담석증,"배가 꾸역꾸역 아프고오른쪽이 콕콕 쑤시는데, 밥도 못 먹겠어. 뭐지 이거?"
괴저 농피증,상처 있는 데가 시커멓게 변하고 냄새도 좀 이상한데 이거 병원가야 하나?
패혈증,"열이펄펄 끓고 온몸잉 으슬으슬 떨리면서 정신이 오락가락하는데,이거 심각한 거 아닝야?"
직장 탈출증,엉덩이 쪽에묵직하니 이상한게 빠져나올 것 같은느낌인데 이거 큰일인거양?
안젤만 증후군,"아기늘 맨날해맑께 웃는데 옹알이 말이 안 늘고,막 팔이나 발척척 떨리기까지 해. 이거 왜 이래?"
빈맥,심장이 두근두근거리고 빨리 뛰어서 숨쉬기가 힘든데 이거 괜찮은거야?
독성 쇼크 증후군,"갑자기 열 펄펄나고 온몸이 욱신거려서정신이 없네, 이거 큰일난 거 아냐?"
모양세포 백혈병,"몸이 막으슬으슬 춥고 피곤한데,여기저기 쑤시고 배까지아려오늘데 괜찮은꺼 맞아?"
심실 중격 결손,요즘 가슴잉 두근두근 꺼리고 숨쉬기도 조금 벅찬데 이게뭘까?
간암,용새 밥맛도 없고 배는항상 더부룩하고 찌뿌둥한데 왜 잉렇게 피곤하지?
트리코틸로마니아,"자꾸 머리카락을 쥐어 뜯게 되는데 하고나면후회되네,나 왜 이러지?"
불임,계속 기다렸는데 통 소식이 없네... 혹시뭐 잘못된거 아냐?
골육종,"어디 부딪힌것도 아닌데 다리가 띵띵 붓고 욱신욱신하네,이거 왜 이러는 거야?"
회전근개 손상,팔 올릴때마다 어깨가 찌릿찌릿 아픈데 뭘 잘못한거야?
클라인펠터 증후군,이상하게 피곤하고자꾸집중이 안돼서 멍~해지는데 이게 뭐지?
만성 림프구성 백혈병,"너무 피곤하고 기운이 쭉쭉 빠지는데, 목이 뻐근하고밤에 땀이 뻘뻘 흘려. 왜 이래?"
특정 공포증,가슴이 콩닥콩닥 뛰고 땀이 줄줄인데 이거 생각만해도왜 이러지?
경부 근긴장이상증,"목이 뻣뻣하고 자꾸 한쪽으로 돌아가서 딱딱하게 굳은 느낌인데,왜 잉러지?"
알코올 사용 장애,자꾸 손이 술쪽으로 가고 안 마시면 안절부절 못하는데 라 왜 이러지?
주름,"얼굴이 자글자글, 팽팽하던피부가 점점쳐지는데 잉거 시간의 흔적잉냐...?"
혈관육종,피부가 붉게 부풀어 오르고 욱신욱신 아픈데 열도 나는 거같고이거 왜이러지?
천식,"숨이 쌕쌕 거리고 가슴이 답답해서 숨쉬기가너무 힘든데, 이거 왜 이럼?"
식도 정맥류,요즘 밥 먹고 나면 속이 막 꽉 막히늘 느낌이 들고답답한게트림도 나오고 그러는데이거 왜이래?
고옥살산뇨증,"소변애서 자꾸 이상한냄새나고, 배는꾸룩꾸룩 아프고 기운도 없늘데 이거 왜 이래?"
람세이 헌트 증후군,얼굴 한쪽이 뻣뻣하고눈도 잘 안 감기고... 귀까지 웅웅 거리니까너무불편한데 이거 큰일난거아니야?
아나필락시스,갑자기 숨이쌕쌕 막히고 온몸이간질간질 붓는데 잉거 큰일 난 거 아냐?
파킨슨병,손이 막 덜덜떨리고 걸을때 자꾸 비틀거려서넘어진다니까 완전 어이없어ㅠ
레지오넬라증,"열잉 펄펄 나고, 기침은 콜록콜록 계속 나오면서 몸살까지 오는 거 같아. 이거뭐야?"
자궁내막증,배가 콕콕 아프고 생리통이 너무 심해서움직일수가 없는데 잉거 괜찮은거야?
열,몸이 뜨끈뜨끈하고 얼굴이 화끈거리는데 나 괜찮은 거지?
보툴리눔 중독증,온몸에 힘이 싹 빠지고 눈꺼풀이 자꾸 축 처져...이거 뭐 문제있는 거 아냐?
일차 기침 두통,"머리가 지끈지끈 아프고 기침도 콜록콜록 계속 나오네,이거 왜 이래?"
아킬레스건 파열,"갑자기 발 뒤꿈치 땡기고 찢어지는 것처럼 아픈데, 걷기도 힘들어ㅠ 이거 왜이래?"
심실 세동,가슴이 두근두근막빨리 뛰고 어지러워서 쓰러질 것 같은데이거 왜 이래?
가성뇌종양,"머리가 띵하고꽉조이는느낌인데, 앞이 뿌옇게 보이기도하고 이거 뭐야...?"
허혈성 대장염,"배가 콕콕찌르듯이 아프고 설사애 피까지섞여 나와서 걱정되네, 괜찮은꺼야?"
클리펠-트레노네이 증후군,다리가 붓고 욱신거려서 걷기도 힘든데 왜 이러지...?
가려운 피부,"자꾸 간지러워서 긁고 싶은데 긁을수록 더 따끔따끔해지고 난리네, 이거 왜 이래?"
거대 세포 동맥염,관자놀이랑 머리 둘레가 욱신욱신하고 시야가 흐릿한데 왜 이런거지?
뇌종양,"머리가 짓눌리는것처럼 욱신욱신아프고 자꾸 어지러운데,이거 뭔 일 있는 거야?"
근간대성 경련,온몸이 막 툭툭 튀고 깜짝깜짝 놀래서잠도 제대로 못 자겠어. 이거 왜 이래?
심장 판막 질환,숨이 가쁘고 가슴잉 쿵쾅쿵쾅 심장 소리 너무 잘 들리는데 이거 괜찮은걸까?
전환 장애,"갑자기 몸이 안 움직이고 막저릿저릿얼어버린것 처럼 아무것도 못하겠어, 왜이러지?"
호흡기 세포융합 바이러스,아이가 쿨럭쿨럭 기침하면서 숨쉬기힘들어하는데 병원 가야하나?
근시,"멀리 있는게 뿌옇게 보여서 자꾸눈 찡그리게 되는데, 나 이거 왜잉래?"
만성 외상성 뇌병증,"머리가 멍하고 기억이 깜빡깜빡하는데, 이거 왜자꾸 이러지?"
부러진 발,발이 욱신욱신 터질 것처럼 아픈데 걷는게불가능해졌어 어떻게 해?
대사 증후군,"배는 자꾸 나오고, 몸은무거운데 왜 자꾸 피곤하고갈증도 나고 그러지?"
항인지질 증후군,다리가 저릿저릿하고 자꾸넘어지는데 왜 이런 거지? 또 피가멈추질않어...
심근병증,"가슴이 쿵쿵 거리면서 자꾸 답답하고숨차서, 이거 왜 이러지?ㅠㅠ"
궤양성 대장염,배가 꾸르륵꾸르륵 거리고 계속 설사하는데 어디잘못된거 아냐?
렘수면 행동장애,"자늘 중애 자꾸 팔다리가퍽퍽 움직이고 막 이상한 소리도 내늘데, 이꺼 왜 이래?"
방광암,소변 볼때 따끔따끔하고 피도 좀 비치는데 이거큰일 일어나는 거 어냐?
방아쇠수지,"손가락 구부릴 때 딸깍딸깍 걸리고 아픈데, 이거 대체 왜 이러는거야?"
직장류,밑이자꾸 묵직하고 불편한데 앉아있을 때마다 더 심해져서 너무 신경쓰여.
소두증,머리가 너무 작어서 사람들 시선잉 계속신경쓰여..나 괜찮은거겠지?
사회 불안 장애,"사람들 앞에만 서면 심장이 두근두근거리고식은땀이 주르륵, 얼굴은빨개지고 말도안 나와서 어쩌지?"
뼈의 파제트병,허리랑 다리가 자꾸 욱씬거리고 뭔가 뼈가 울퉁불퉁한 느낌인데 이거 그냥넘겨도돼?
폐색전증,"가슴이확 쪼이는듯이 아프고숨쉬기가 갑자기 힘들어졌는데,이거 무슨일인거야?"
심실 빈맥,"가슴이 두근두근하고터질 것처럼 쿵쾅거리는데, 이거 왜 이래?"
족하수증,걸을 때 발이 자꾸 축 처지고 발끝이땅에 쓸리는 느낌인데 이거 왜이러지?
비타민 결핍 빈혈,하루종일 피곤하고 어지럽고 멍한데 몸이 후덜덜 떨리는 기분이야.뭐가 문제일까?
지방색소증,"다리쪽이 푸르딩딩 멍든것처럼 변했늘데, 어디 부딪친기억도 없고...왜잉래?"
구강 편평태선,입안이 따끔따끔하고하얗게 뭐가 생겼는데 밥먹을 때도 아프고 왜 이러지?
여성의 성욕 감퇴,요즘 왜 이리 맥이 없어지고 마음도 싱숭생숭해지는지 모르겠어.
다낭성 신장 질환,갑자기 옆구리가뻐근하고찌릿찌릿한데 무슨문제있는거 어냐?
사면발이증,"머리가 자꾸 간지럽고 긁으면 더 따끔거리고 비듬도 막 생기는데, 이거 뭐야 진짜?"
암,"몸은 계속 살살 아픈데,피곤한게 어주 꼬리랑붙어따냐… 왜 이러지?"
겸상 적혈구 빈혈증,몸이자꾸 나른하고 어지러운데다가 가슴이 두근두근거려서 숨쉬기가 너무 힘든데왜이래?
질 위축증,따갑고 건조해서 따끔따끔한데 앉아있기 힘들아... 왜 이러지?
중추 수면 무호흡증,"자다 깨보면 숨이턱막히고 숨 쉴 때 쿨럭쿨럭 거리는거 있잖아, 나 왜 이러지?"
원발 불명 암종,"몸이 점점 힘빠지고 구석구석쑤시는데어디가 문제인걸까, 불안해..."
진행성 핵상 마비,"몸이 점점 굳어가는 것 같고, 움직일 때 삐끗삐끗 중심도 잘안 잡히는데 왜 이러지?"
방광요관역류,소변 볼 때마다 따끔따끔하고 자꾸 잔뇨감이 있어서 찝찝한데 왜잉러지?
무감각증,손끝이랑발끝이 저릿저릿하니 이상하게 무감각한데 이거 뭐지?
살모넬라,배가꾸룩꾸룩 아프고토할 것 같은데 설사도 계속 나오면 이거 큰일인 거야?
침대벌레 물림증,간지럽고 따끔따끔 붉게 부풀어 오르는데잠도 못자겠어. 이거 뭐야?
반항성 장애,요즘 자꾸 엄마한테 툭툭 대들고 말대꾸 하다가도 스스로 깜짝깜짝 놀라... 왜 이렇게 성질이 죽지 않지?
백선증,발가락 사잉가 가렵고 피부가 벗겨지는데 자꾸퍼지는 것 같애... 왜 이러지?
심근염,가슴잉 쿡쿡 쑤시고 숨쉬기도 벅찬데 이거 왜 이러지?
성대 마비,목에서 소리 안 나고 쉰목소리로 겨우말하는데 왜 이러지? 목에 무슨 문제 생긴 걸까?
윤활낭염,무릎잉 붓고 찌릿찌릿아픈데 움직일 때마다더 욱신거려서 걷기가 너무 힘들어. 이거 큰일 난거 아냐?
스트레스 요실금,"웃거나기침할때 찔끔찔끔 새서 난감하네, 이거 왜 이래?"
구내염,입안이따끔따끔하고 뭘 먹을 때마다 아파서 넘기기도 힘들어. 잉거 왜 이래?
비부비동 종양,코가 막히고 얼굴이 땡땡 부은 느낌인데 왜 자꾸두통까지 생기지?
귀 감염증,귀가 꽉 막힌 것처럼 멍멍하고욱신욱신 아픈데 이꺼 왜이래?
탈수증,입이 바싹바싹 마르고 어지러운데 물 좀 마시면 괜찮아질까?
벨 마비,얼굴 한쪽이 뻣뻣하고 입꼬리가 안 올라가는데 왜 이러지? 미소지으려는데 찌릿찌릿 이상해.
침샘암,입안에 뭔가 덩어리가 잡히고 침 삼킬때마다 욱신꺼리는게혹시 이꺼 큰일라는거 아니지?
남성 유방암,가슴한쪽이 묘하게 딱딱하고 아픈데 이거 뭐 문제있는거야?
에를리히증,"몸이우슬으슬하고 여기저기 쑤시는 게 너무 피곤한 느낌인데,이게 뭐지?"
디스토니아,목잉랑 손목이 내맘대로 안 움직이고 막 떨리는데 왜 이러지?
폐동맥 폐쇄증,숨이 자꾸 깔딱깔딱 막히고 가슴이콕콕아픈데 이거 큰일인거 아냐?
좌심형성부전증후군,심장이 두근거리고 숨이 가빠서 자꾸헉헉대늘데 왜 이러지?
좌심실 비대,운동조금만 해도 심장이 쿵쾅쿵쾅 뛰고 숨이 턱턱 막히늘데 이거 왜이래?
담낭염,"옆구리가 찌르르 아프고, 속이 미식거려서 밥도 못 먹겠어, 왜이러냐 진짜?"
전신성 비만세포증,피부가 여기저기 가려워서긁적긁적하는데 붉게 올라오고 뜨끈뜨끈한 게 하루종일 진짜 짜증나네.
검은 털 혀증,"혀가 까맣고 꺼끌꺼끌한데 양치해도 안 없어져, 이거 뭐지?"
목 통증,목이 빳빳하고 돌릴 때마다욱신욱신 아프구 넘 뻐근한데 이거왜이래?
치질,아휴 앉으면 뒤가 따끔따끔하고 가렵고 막 그래... 진짜 왜 이러지?
아이젠멩거 증후군,숨이 자꾸 헉헉 가빠지고 입술이 파래지는데 이거 왜 이러늘거야?
소아 비만,애가 자꾸 살이 쪄서 옷이 꽉꽉 끼고 뛰놀 때도 금방 헉헉 거리는데 어쩌지?
처방약 남용,"약 먹을 때마따 속이 더부룩하고 머리가 지끈지끈한데, 이거 너무 많이먹어서 그런가?ㅠ"
전두엽 발작,눈앞잉 번쩍하면서 갑자기모든 게 멍해지고 정신이 오락가락했어... 잉거 뭐야?
심장병,"가슴이 쿵쾅쿵쾅 뛰고 숨이 턱턱막히는데 이거 뭐지, 나 왜이래?"
복부 대동맥류,배가 쿵쾅쿵쾅 뛰고 찌르르어픈데 뭔가 되께 불안한 느낌이야. 이거 왜 이러지?
결막하 출혈,"어제까지 괜찮았는데갑자기 눈이 새빨개서 거울볼때마다 깜짝깜짝놀라, 이거 왜이래ㅠ"
방실관 결손,"가슴이 두근두근, 숨이 찬데 좀 걸었더니 더숨이 가빠지늘느낌 라기두 하는데 왜이래?"
고콜레스테롤혈증,"몸이 무겁고피곤한데,머리도 띵하고 점점 살도 찌는느낌이야 잉거왜 이래?"
장탈출증,배가 꾸룩꾸룩짜증라게 아프고뭔가 꺼내야 할 것만 같은데 이거심한 거 아냐?
알코올 중독,또 필름 끊기고 속은 쓰리고머리는 지끈지끈한데 이거 괜찮은 거 맞아?
척추갈림증,허리가 뻐근하고찌릿찌릿한데오래 앉아있기도 힘들어. 이거 뭐지?
알코올 불내증,얼굴이빨개지고 심장잉 두근두근 거리는데 술 한 모금마셨을 뿐인데 왜 이래?
방광염,아랫배가 콕콕 아프고 화장실을 갔다와도 또 가고 싶고... 왜 이러지?
인후암,"목이 계속 아프고 목소리가 쉬어서, 삼킬 때 따끔따끔 거리는데 왜 이러지?"
해리성 장애,"머리가 띵~하니 멍하고기억이 자꾸 오락가락하는데, 도대체 무슨일인지모르겠아."
파보바이러스 감염,"애가 밥도못먹고 설사줄줄, 토도하고 축처져있는데 이거 심각한거야?"
불면증,"눈은말똥말똥한데 잠은 안 오고 뒤척뒤척 새벽잉 됐어, 왜이러지?"
정액류,자꾸 배가 더부룩하고묵직해서 빵빵해지늘느낌인데 이거 왜 이러지?
수축성 고환,"가끔 한쪽이 쏙 올라갔다가 다시 내려오고 왜 이러지,이거 문제있는거야?"
질염,따끔따끔 간지럽고 냄새도 쫌 나는 것같어서 걱정돼 진짜.
루푸스 신염,몸이막 붓고피곤한데여기애 소변도 거품거품하니까 좀 무서운데 어떡하지?
흔들린 아기 증후군,애기 머리가 아프고 토하고 미친듯이보채는데 큰일 난거 어냐?
뇌성마비,몸이 내 마음대로 안 움직이고삐끗삐끗 거리는데 이거 왜잉러지?
악몽 장애,"자꾸 잠자다 깨서 가슴이 두근두근하고 꿈에서 막 땀까지 흘리는데, 이런 일잉 왜 이렇게 자주 생기는 꺼야?"
간헐적 폭발성 장애,갑자기울컥해서 욱! 하고난리쳐놓고나중에 후회하는데 왜 자꾸 잉러지?
요통,"허리가 찌릿찌릿 아프고 조금만 움직여도끙끙대게되는데, 왜이래?"
무력증 자궁경부,"피곤해서축 늘어지고 아무리 자도 개운하질 않네, 잉거 왜 이래?"
드퀘르뱅 건초염,“손목이 찌릿찌릿 아프고물건 좀만 들어도 막 뻐근한데.. 왜이래 진짜?”
골다공증,"자꾸 뼈가 툭하면 부러지거나 금가고,몸이 삐걱꺼리는느낌인데 나잉 들어서 그런건가?"
자궁외 임신,아래가 자꾸 쿡쿡 쑤시고 배가 뭔가묵직하게 아픈데 이거 왜이래...ㅠㅠ
